time,seconds_elapsed,z,y,x
1716979893867577600,0.04057763671875,-0.09979717433452606,0.005955760832875967,-0.0023670331574976444
1716979893877290800,0.050290771484375,-0.09124530851840973,0.06948387622833252,-0.03352024406194687
1716979893887004000,0.06000390625,-0.07230904698371887,0.13423368334770203,-0.0689493864774704
1716979893896717300,0.06971728515625,-0.04909684881567955,0.17882554233074188,-0.09888090193271637
1716979893906430500,0.079430419921875,-0.028938889503479004,0.1898207813501358,-0.11537377536296844
1716979893916143600,0.0891435546875,-0.014278554357588291,0.17943638563156128,-0.10987614840269089
1716979893925857000,0.09885693359375,-0.006337540224194527,0.14706148207187653,-0.07444700598716736
1716979893935570200,0.108570068359375,-0.014889402315020561,0.0841442123055458,-0.008475505746901035
1716979893945283300,0.118283447265625,-0.02832804247736931,0.004734066314995289,0.0758214145898819
1716979893954996700,0.127996826171875,-0.038101598620414734,-0.06673506647348404,0.15095563232898712
1716979893964710000,0.1377099609375,-0.04543176665902138,-0.1119377613067627,0.19554747641086578
1716979893974423000,0.147423095703125,-0.04421006888151169,-0.12048961967229843,0.20959696173667908
1716979893984136400,0.157136474609375,-0.03199312463402748,-0.09116895496845245,0.1949366331100464
1716979893993849600,0.166849609375,-0.012446013279259205,-0.03680354729294777,0.15156647562980652
1716979894003562800,0.176562744140625,0.008322793990373611,0.03833066672086716,0.09720107167959213
1716979894013276200,0.186276123046875,0.02970244735479355,0.10308047384023666,0.048333290964365005
1716979894022989300,0.1959892578125,0.043141089379787445,0.12262758612632751,0.009239064529538155
1716979894032702500,0.205702392578125,0.040697697550058365,0.10369132459163666,-0.01763821393251419
1716979894042415600,0.21541552734375,0.02053973823785782,0.05238015204668045,-0.03718532621860504
1716979894052129000,0.22512890625,-0.017332790419459343,-0.02764083817601204,-0.05978667363524437
1716979894061842200,0.23484228515625,-0.06742226332426071,-0.11743538826704025,-0.0958266630768776
1716979894071555600,0.2445556640625,-0.08696937561035156,-0.1895153671503067,-0.15019206702709198
1716979894081268700,0.254268798828125,-0.07475243508815765,-0.23777230083942413,-0.2149418741464615
1716979894090982000,0.26398193359375,-0.060092099010944366,-0.254265159368515,-0.27419406175613403
1716979894100695000,0.273695068359375,-0.047264307737350464,-0.23655059933662415,-0.3193967640399933
1716979894110408400,0.283408447265625,-0.031382277607917786,-0.18157434463500977,-0.34871742129325867
1716979894120121600,0.29312158203125,-0.008780929259955883,-0.09361234307289124,-0.35360419750213623
1716979894129834800,0.302834716796875,0.016874656081199646,-0.00015271181473508477,-0.334057092666626
1716979894139548200,0.312548095703125,0.03825430944561958,0.0713164210319519,-0.2906869351863861
1716979894149261300,0.32226123046875,0.05841226875782013,0.10674555599689484,-0.2259371280670166
1716979894158974500,0.331974365234375,0.07368344813585281,0.10735640674829483,-0.1483595222234726
1716979894168687900,0.34168798828125,0.08162446320056915,0.08964183181524277,-0.07078192383050919
1716979894178401000,0.351401123046875,0.08101361989974976,0.07437065243721008,-0.004810422193259001
1716979894188114200,0.3611142578125,0.0749051421880722,0.06032116711139679,0.03978142887353897
1716979894197827300,0.370827392578125,0.0620773509144783,0.04016320779919624,0.06421531736850739
1716979894207540700,0.380540771484375,0.04619532451033592,0.008399149402976036,0.06665870547294617
1716979894217254000,0.39025390625,0.029091600328683853,-0.02641914412379265,0.05199837312102318
1716979894226967300,0.39996728515625,0.011377030052244663,-0.05635065957903862,0.02817532978951931
1716979894236680400,0.409680419921875,-0.002061609411612153,-0.07834116369485855,0.0025197449140250683
1716979894246393600,0.4193935546875,-0.010002624243497849,-0.07956285774707794,-0.026190076023340225
1716979894256106800,0.429106689453125,-0.019776180386543274,-0.05757235363125801,-0.05795413255691528
1716979894265820200,0.438820068359375,-0.026495499536395073,-0.02214321307837963,-0.08971819281578064
1716979894275533300,0.448533203125,-0.0295497365295887,0.013896775431931019,-0.11293038725852966
1716979894285246500,0.45824658203125,-0.031382277607917786,0.041384901851415634,-0.11964970827102661
1716979894294959900,0.4679599609375,-0.03382566571235657,0.0584886260330677,-0.10621106624603271
1716979894304673000,0.477673095703125,-0.03749075159430504,0.06581879407167435,-0.07139277458190918
1716979894314386200,0.48738623046875,-0.047264307737350464,0.0590994730591774,-0.03474193811416626
1716979894324099600,0.497099609375,-0.05948125198483467,0.04016320779919624,-0.011529741808772087
1716979894333812700,0.506812744140625,-0.0686439573764801,0.014507622458040714,-0.012140588834881783
1716979894343526000,0.51652587890625,-0.0692548081278801,-0.01847812905907631,-0.03229855000972748
1716979894353239300,0.5262392578125,-0.06436803191900253,-0.0459662564098835,-0.06100837141275406
1716979894362952400,0.535952392578125,-0.05948125198483467,-0.05512896552681923,-0.08727480471134186
1716979894372665600,0.54566552734375,-0.04909684881567955,-0.05635065957903862,-0.09949174523353577
1716979894382379000,0.55537890625,-0.03382566571235657,-0.051463883370161057,-0.09643751382827759
1716979894392092200,0.565092041015625,-0.012446013279259205,-0.03374931216239929,-0.0823880210518837
1716979894401805300,0.574805419921875,0.010766183026134968,-0.012369656935334206,-0.06406260281801224
1716979894411518700,0.584518798828125,0.03092414326965809,-0.0050394898280501366,-0.05673243850469589
1716979894421231900,0.59423193359375,0.04741701856255531,-0.03497100621461868,-0.06772769242525101
1716979894430945000,0.603945068359375,0.05413633957505226,-0.09483403712511063,-0.09338327497243881
1716979894440658400,0.613658447265625,0.05413633957505226,-0.1656923145055771,-0.12575818598270416
1716979894450371600,0.62337158203125,0.05963396281003952,-0.24021568894386292,-0.1355317384004593
1716979894460084700,0.633084716796875,0.07795938104391098,-0.335507869720459,-0.020692450925707817
