time,seconds_elapsed,z,y,x
1718030736952090000,0.150090087890625,8.400602340698242,4.231706619262695,-1.0707881450653076
1718030736961941000,0.15994091796875,8.654241561889648,4.480560302734375,-1.022931694984436
1718030736971947000,0.169947021484375,8.8648099899292,4.4997029304504395,-0.9128618240356445
1718030736981871900,0.179871826171875,9.003593444824219,4.418346881866455,-0.8554341197013855
1718030736991831300,0.189831298828125,9.138189315795898,4.2795634269714355,-0.8793623447418213
1718030737001731300,0.1997314453125,9.300901412963867,4.149752616882324,-0.7645068168640137
1718030737011666000,0.209666015625,9.34875774383545,4.179064750671387,-0.7166503667831421
1718030737021625600,0.21962548828125,9.229117393493652,4.020540237426758,-0.6496513485908508
1718030737031570700,0.22957080078125,9.133403778076172,4.077968120574951,-0.6975077986717224
1718030737041483800,0.23948388671875,9.056235313415527,4.144967079162598,-0.6592226624488831
1718030737051415600,0.24941552734375,8.955737113952637,4.25084924697876,-0.534795880317688
1718030737061595600,0.259595703125,8.783453941345215,4.2987060546875,-0.4773681163787842
1718030737071775500,0.269775390625,8.793025016784668,4.154538154602051,-0.3194418251514435
1718030737081655600,0.279655517578125,8.697312355041504,3.723830223083496,0.030508488416671753
1718030737091535600,0.28953564453125,8.84088134765625,4.308277130126953,0.04007977992296219
1718030737101415700,0.299415771484375,8.974879264831543,4.456632137298584,-0.1944168359041214
1718030737111295500,0.30929541015625,8.984451293945312,4.490131855010986,-0.6161518096923828
1718030737121175600,0.319175537109375,9.19561767578125,4.475774765014648,-0.9655039310455322
1718030737131055600,0.3290556640625,9.482755661010742,4.475774765014648,-0.9702895879745483
1718030737141235500,0.3392353515625,9.29611587524414,3.9248273372650146,-1.0947163105010986
1718030737151415600,0.34941552734375,8.970093727111816,3.6568312644958496,-0.9990034699440002
1718030737161595600,0.359595703125,9.200403213500977,3.6472599506378174,-0.8171489238739014
1718030737171791400,0.369791259765625,9.324830055236816,3.9152560234069824,-0.6496513485908508
1718030737181607700,0.379607666015625,9.31047248840332,4.077968120574951,-0.6783652305603027
1718030737191512800,0.389512939453125,9.114261627197266,4.17427921295166,-1.3250255584716797
1718030737201690600,0.399690673828125,9.396614074707031,4.327419757843018,-1.2526426315307617
1718030737211708200,0.409708251953125,9.214759826660156,4.480560302734375,-1.3537393808364868
1718030737221627100,0.419627197265625,8.486743927001953,4.442275047302246,-1.2813565731048584
1718030737231604200,0.429604248046875,7.739584922790527,4.380061626434326,-0.7501499056816101
1718030737241561600,0.4395615234375,7.361518859863281,4.609772682189941,-0.08434699475765228
1718030737251530800,0.44953076171875,7.5050883293151855,4.8059844970703125,0.47557350993156433
1718030737261496000,0.45949609375,7.959724426269531,4.557130813598633,0.542572557926178
1718030737271463700,0.469463623046875,8.271389961242676,4.101896286010742,0.15493527054786682
1718030737281279000,0.479279052734375,8.24267578125,3.5132617950439453,-1.1186445951461792
1718030737291184400,0.489184326171875,8.831310272216797,3.47019100189209,-1.602592945098877
1718030737301364500,0.499364501953125,10.383055686950684,3.824328899383545,-0.9750752449035645
1718030737311433700,0.509433837890625,8.678169250488281,4.762913703918457,-1.3824533224105835
1718030737321337300,0.51933740234375,8.649456024169922,4.724628448486328,-1.2717852592468262
1718030737331317800,0.52931787109375,8.764310836791992,4.25084924697876,-0.7884350419044495
1718030737341272000,0.53927197265625,8.783453941345215,4.049253940582275,-0.5682953596115112
1718030737351241700,0.54924169921875,8.649456024169922,4.4374895095825195,-0.5874379873275757
1718030737361206300,0.559206298828125,8.391031265258789,4.9639105796813965,-0.778863787651062
1718030737371174100,0.569174072265625,8.357531547546387,4.906482696533203,-0.9224331378936768
1718030737380985900,0.57898583984375,8.35274600982666,4.509274482727051,-0.9846464991569519
1718030737390938000,0.588938232421875,8.486743927001953,4.5714874267578125,-0.7262216806411743
1718030737400920000,0.598920166015625,8.697312355041504,4.978267669677734,-0.7884350419044495
1718030737410875100,0.608875244140625,8.922237396240234,4.901697158813477,-1.2191431522369385
1718030737420854300,0.618854248046875,8.960522651672363,4.705485820770264,-1.7940187454223633
1718030737430811600,0.628811767578125,8.587242126464844,4.686343193054199,-2.162513494491577
1718030737440943000,0.638943115234375,8.261817932128906,4.8777689933776855,-2.152942180633545
1718030737450918400,0.64891845703125,7.849654674530029,3.666402578353882,-1.2957134246826172
1718030737460877600,0.658877685546875,7.864011764526367,4.825126647949219,-1.2430713176727295
1718030737470851000,0.66885107421875,8.13260555267334,5.462215900421143,-1.4638092517852783
1718030737480811800,0.678811767578125,8.721240043640137,4.729413986206055,-1.290927767753601
1718030737490784300,0.6887841796875,8.754739761352539,4.044468402862549,-1.290927767753601
1718030737500591400,0.69859130859375,8.888737678527832,4.432703971862793,-1.4685949087142944
1718030737510547200,0.708547119140625,8.888737678527832,4.3657050132751465,-1.5643078088760376
1718030737520525600,0.718525634765625,8.836095809936523,4.336990833282471,-1.5978072881698608
1718030737530483700,0.728483642578125,9.138189315795898,4.106681823730469,-1.6169499158859253
1718030737540614700,0.73861474609375,9.262616157531738,3.824328899383545,-1.5355939865112305
1718030737550590200,0.748590087890625,9.20997428894043,3.5371899604797363,-1.4207384586334229
1718030737560548900,0.758548828125,9.06580638885498,3.5084762573242188,-1.3010972738265991
1718030737570522600,0.768522705078125,9.008378982543945,3.613760471343994,-1.2861422300338745
1718030737580328400,0.778328369140625,8.903095245361328,3.5467612743377686,-1.3824533224105835
1718030737590285600,0.78828564453125,8.314460754394531,3.3888349533081055,-1.3680963516235352
1718030737600262700,0.7982626953125,8.13260555267334,3.1591241359710693,-1.430309772491455
