time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1718030736912338000,0.110337890625,-0.49317896366119385,-0.10824661701917648,0.21374563872814178,0.8362834453582764,0.033629775047302246,-0.4828145205974579,1.0739439725875854
1718030736922227700,0.120227783203125,-0.5000249743461609,-0.10172256827354431,0.2184690684080124,0.8318045139312744,0.055668532848358154,-0.4838320016860962,1.0962433815002441
1718030736932194800,0.13019482421875,-0.5098406076431274,-0.09618967026472092,0.21971940994262695,0.8261558413505554,0.07344135642051697,-0.4792657196521759,1.1237825155258179
1718030736942162000,0.140161865234375,-0.5161466002464294,-0.08982905000448227,0.22106747329235077,0.8225889801979065,0.09050916135311127,-0.4739733934402466,1.1426156759262085
1718030736952090000,0.150090087890625,-0.5212202072143555,-0.08666383475065231,0.22248704731464386,0.8193402290344238,0.10114064067602158,-0.4722903370857239,1.1575064659118652
1718030736961941000,0.15994091796875,-0.5227416157722473,-0.08519971370697021,0.22358101606369019,0.8182259798049927,0.10612092912197113,-0.472321093082428,1.162585735321045
1718030736971947000,0.169947021484375,-0.5241795778274536,-0.08479852974414825,0.22281697392463684,0.817555844783783,0.10670655965805054,-0.47038552165031433,1.1658562421798706
1718030736981871900,0.179871826171875,-0.5268197655677795,-0.08484905958175659,0.22080811858177185,0.8163977861404419,0.10557623952627182,-0.46669238805770874,1.171240210533142
1718030736991831300,0.189831298828125,-0.5271204710006714,-0.08374650031328201,0.2185189574956894,0.816933274269104,0.10466271638870239,-0.461531400680542,1.1706595420837402
1718030737001731300,0.1997314453125,-0.5288284420967102,-0.08333269506692886,0.21542412042617798,0.8166937232017517,0.10232868045568466,-0.455608069896698,1.1730070114135742
1718030737011666000,0.209666015625,-0.5294746160507202,-0.08313843607902527,0.212855726480484,0.8169682025909424,0.09967352449893951,-0.4509625732898712,1.1729538440704346
1718030737021625600,0.21962548828125,-0.5297011137008667,-0.08301018178462982,0.210284024477005,0.8175002336502075,0.09666331857442856,-0.4464383125305176,1.1718275547027588
1718030737031570700,0.22957080078125,-0.5304027795791626,-0.08322672545909882,0.20835712552070618,0.8175166845321655,0.09417837858200073,-0.44333919882774353,1.1722990274429321
1718030737041483800,0.23948388671875,-0.5304809808731079,-0.08365727961063385,0.20690299570560455,0.817791223526001,0.09157917648553848,-0.44135400652885437,1.1714444160461426
1718030737051415600,0.24941552734375,-0.5286369919776917,-0.08420003950595856,0.20603901147842407,0.8191466331481934,0.08845088630914688,-0.4407024085521698,1.1660242080688477
1718030737061595600,0.259595703125,-0.52618807554245,-0.08492997288703918,0.20567888021469116,0.8207370042800903,0.08530203998088837,-0.4411667585372925,1.1593482494354248
1718030737071775500,0.269775390625,-0.5237630605697632,-0.0857248306274414,0.20497454702854156,0.8223800659179688,0.08161304891109467,-0.4410983920097351,1.152510166168213
1718030737081655600,0.279655517578125,-0.5228050947189331,-0.08681255578994751,0.2031249701976776,0.8233338594436646,0.0767962858080864,-0.43923965096473694,1.1486459970474243
1718030737091535600,0.28953564453125,-0.5202810764312744,-0.08779019117355347,0.2027851790189743,0.8249112963676453,0.0732029378414154,-0.4399682283401489,1.1417672634124756
1718030737101415700,0.299415771484375,-0.5186775326728821,-0.08840442448854446,0.20288369059562683,0.8258308172225952,0.07132553309202194,-0.4409535229206085,1.1375962495803833
1718030737111295500,0.30929541015625,-0.5180427432060242,-0.08832419663667679,0.2036253958940506,0.8260552287101746,0.07203717529773712,-0.44219356775283813,1.1364554166793823
1718030737121175600,0.319175537109375,-0.5171672701835632,-0.08722136914730072,0.20489224791526794,0.8264076709747314,0.07508566975593567,-0.4432361423969269,1.1352769136428833
1718030737131055600,0.3290556640625,-0.5161232352256775,-0.08586936444044113,0.20622998476028442,0.8268690705299377,0.0785708874464035,-0.44414806365966797,1.1337828636169434
1718030737141235500,0.3392353515625,-0.5168195962905884,-0.08462817221879959,0.20713688433170319,0.8263351917266846,0.08231742680072784,-0.4442756772041321,1.136427879333496
1718030737151415600,0.34941552734375,-0.5173279643058777,-0.0840490534901619,0.20803655683994293,0.8258500695228577,0.08477498590946198,-0.44513070583343506,1.1384345293045044
1718030737161595600,0.359595703125,-0.5176233649253845,-0.08375966548919678,0.2087700068950653,0.825509250164032,0.08638861030340195,-0.44603854417800903,1.1397267580032349
1718030737171791400,0.369791259765625,-0.5166877508163452,-0.08361445367336273,0.2098318189382553,0.8258407711982727,0.08745370805263519,-0.44779664278030396,1.1380605697631836
1718030737181607700,0.379607666015625,-0.5153415203094482,-0.08356708288192749,0.2111000120639801,0.8263633847236633,0.08836672455072403,-0.45006251335144043,1.1354613304138184
1718030737191512800,0.389512939453125,-0.515149712562561,-0.08297190070152283,0.21314680576324463,0.826017439365387,0.0919174775481224,-0.452940970659256,1.1364567279815674
1718030737201690600,0.399690673828125,-0.514735758304596,-0.08100450783967972,0.2157750278711319,0.8257884383201599,0.09853103011846542,-0.4553323984146118,1.137635350227356
1718030737211708200,0.409708251953125,-0.5134089589118958,-0.07757983356714249,0.21936829388141632,0.825996458530426,0.10845247656106949,-0.4578886330127716,1.1375441551208496
1718030737221627100,0.419627197265625,-0.5119591355323792,-0.07584289461374283,0.2227446585893631,0.8261540532112122,0.11504191160202026,-0.4619557559490204,1.1366262435913086
1718030737231604200,0.429604248046875,-0.5093539357185364,-0.076752670109272,0.22512689232826233,0.8270341753959656,0.11493790149688721,-0.4673967957496643,1.1314178705215454
1718030737241561600,0.4395615234375,-0.5052350759506226,-0.07925240695476532,0.22687911987304688,0.8288440704345703,0.11021287739276886,-0.473694384098053,1.1214754581451416
